"Year","State","Emissions","Primary.x","Elec.x","Use.x","Primary.y","Elec.y","Use.y"
2003,"Berlin",6.1,"0.6","0.6","93.3","0.6","0.6","93.3"
2003,"Brandenburg",22.4,"5.3","15.1","240.1","5.3","15.1","240.1"
2003,"Bremen",22,"2.4","2.3","257.5","2.4","2.3","257.5"
2003,"Hamburg",6.7,"1.9","1.2","142.4","1.9","1.2","142.4"
2003,"Hessen",7.2,"3.1","2.9","165.4","3.1","2.9","165.4"
2003,"Mecklenburg-Vorpommern",6,"7.2","20.9","99.4","7.2","20.9","99.4"
2003,"Nordrhein-Westfalen",16.4,"1.1","3.6","241.5","1.1","3.6","241.5"
2003,"Rheinland-Pfalz",6.5,"2.2","5.4","157.8","2.2","5.4","157.8"
2003,"Saarland",21.9,"1.2","0.9","249.4","1.2","0.9","249.4"
2003,"Sachsen",11.4,"1.4","5.2","145.4","1.4","5.2","145.4"
2003,"Sachsen-Anhalt",11.1,".","13.9","180.8",".","13.9","180.8"
2003,"Schleswig-Holstein",7.6,"3.1","22","204.1","3.1","22","204.1"
2003,"Thüringen",5,"11.2","7.7","104.8","11.2","7.7","104.8"
2004,"Baden-Württemberg",6.9,"5","7.4","150.8","5","7.4","150.8"
2004,"Bayern",6.4,"7.2","19","161.2","7.2","19","161.2"
2004,"Berlin",5.8,"0.9","0.7","90.2","0.9","0.7","90.2"
2004,"Brandenburg",22.8,"6.2","19.8","244.9","6.2","19.8","244.9"
2004,"Bremen",19.6,"2.2","2.6","233.2","2.2","2.6","233.2"
2004,"Hamburg",6.3,"2.5","1.3","141","2.5","1.3","141"
2004,"Hessen",7,"3.2","3.5","174","3.2","3.5","174"
2004,"Mecklenburg-Vorpommern",6.4,"10.2","31.2","99.9","10.2","31.2","99.9"
2004,"Niedersachsen",8.7,"5","14.3","180.6","5","14.3","180.6"
2004,"Nordrhein-Westfalen",16.1,"2","4.8","224.1","2","4.8","224.1"
2004,"Rheinland-Pfalz",6.4,"3.2","7.5","159.4","3.2","7.5","159.4"
2004,"Saarland",22.6,"1.7","1.2","264.5","1.7","1.2","264.5"
2004,"Sachsen",11.2,"2.5","7.3","143.3","2.5","7.3","143.3"
2004,"Sachsen-Anhalt",10.8,"4.5","15.8","180.7","4.5","15.8","180.7"
2004,"Schleswig-Holstein",7.2,"3.7","27.5","202.3","3.7","27.5","202.3"
2004,"Thüringen",5,"13.2","11.2","104.5","13.2","11.2","104.5"
2005,"Baden-Württemberg",7.1,"5.9","8.8","154.5","5.9","8.8","154.5"
2005,"Bayern",6.2,"8","18.4","161.2","8","18.4","161.2"
2005,"Berlin",5.7,"1.1","0.8","87.8","1.1","0.8","87.8"
2005,"Brandenburg",23.3,"6.8","23.5","262.2","6.8","23.5","262.2"
2005,"Bremen",18.3,"4","4","218.4","4","4","218.4"
2005,"Hamburg",6.6,"3.1","1.4","142.2","3.1","1.4","142.2"
2005,"Hessen",6.9,"3.7","3.8","170.2","3.7","3.8","170.2"
2005,"Mecklenburg-Vorpommern",6.1,"12.4","31.5","100.2","12.4","31.5","100.2"
2005,"Nordrhein-Westfalen",15.6,"2.7","5.7","223","2.7","5.7","223"
2005,"Rheinland-Pfalz",6.4,"3.8","7.9","160.1","3.8","7.9","160.1"
2005,"Saarland",23.5,"2.2","1.1","274.9","2.2","1.1","274.9"
2005,"Sachsen",10.9,"3.1","7.9","147.4","3.1","7.9","147.4"
2005,"Sachsen-Anhalt",11.2,"6.2","18.9","197.7","6.2","18.9","197.7"
2005,"Schleswig-Holstein",6.8,"4.2","27.7","201.3","4.2","27.7","201.3"
2005,"Thüringen",4.9,"14","11.1","106","14","11.1","106"
2006,"Baden-Württemberg",7.2,"7.4","10.3","158.6","7.4","10.3","158.6"
2006,"Bayern",6.3,"9.2","20","166.3","9.2","20","166.3"
2006,"Berlin",5.6,"1.7","0.8","89.4","1.7","0.8","89.4"
2006,"Brandenburg",22.7,"10.4","29.7","264","10.4","29.7","264"
2006,"Bremen",19,"3.9","4.3","226.3","3.9","4.3","226.3"
2006,"Hamburg",6,"4.5","2.7","146.2","4.5","2.7","146.2"
2006,"Hessen",6.8,"4.8","4.3","172.3","4.8","4.3","172.3"
2006,"Mecklenburg-Vorpommern",6.5,"15.2","32.7","107.4","15.2","32.7","107.4"
2006,"Niedersachsen",8.7,"7.9","19","183","7.9","19","183"
2006,"Nordrhein-Westfalen",15.9,"3.4","5.8","226.4","3.4","5.8","226.4"
2006,"Rheinland-Pfalz",6.5,"6.8","10.1","163.3","6.8","10.1","163.3"
2006,"Saarland",22.5,"2.2","2.1","272.3","2.2","2.1","272.3"
2006,"Sachsen",11.3,"4.9","8.5","151.8","4.9","8.5","151.8"
2006,"Sachsen-Anhalt",11.3,"10","22.9","206.4","10","22.9","206.4"
